store_nbr,store_name,chain_name,store_state,target,total_orders,total_items,total_brands,total_sales,total_qty,avg_invoice_value,sales_per_order,qty_per_order,items_per_order,brands_per_order
14832010,LYONS MARKET-KAPLAN-010,GS LA GROUP,LA,1,90,70,5,14793.17,316,46.66615142,164.3685556,3.511111111,0.777777778,0.055555556
15309010,SELLERS BROS. #10-010,GS SELLERS,TX,1,159,125,7,82439.02,1710,55.66442944,518.4844025,10.75471698,0.786163522,0.044025157
12145010,DAVE STREIFFER CO.4-010,GS INT'L LOCALS,TX,1,6,63,6,7918.71,140,93.16129412,1319.785,23.33333333,10.5,1
13102010,G.E.FOODLAND #52-010,GS G.E. FOODLAND,TX,0,34,39,4,7604.31,111,85.44168539,223.6561765,3.264705882,1.147058824,0.117647059
25451,LJ ZUCCA INC,METRO WHOLESALE,NJ,1,46,6,3,16773.2506,252,236.2429662,364.6358826,5.47826087,0.130434783,0.065217391
25456,SF-003 U.S COFFEE INC,METRO WHOLESALE,NY,0,29,4,1,2880.3681,135,68.58019286,99.32303793,4.655172414,0.137931034,0.034482759
12792010,G.E. FOODLAND #6-010,GS G.E. FOODLAND,TX,0,49,80,5,9000.14,199,48.12909091,183.6763265,4.06122449,1.632653061,0.102040816
25457,ALLEN BROS. WHOLESALE,METRO WHOLESALE,PA,0,8,1,1,704.4562,11,88.057025,88.057025,1.375,0.125,0.125
11133010,INT'L EXPORTS 7M-010,GS INT'L LOCALS,TX,0,1,6,2,2678.57,51,382.6528571,2678.57,51,6,2
91562,EURPAC/PEPSICO GROCERY,MILITARY,CT,0,916,22,2,86123.92,1714,55.38515756,94.02174672,1.871179039,0.024017467,0.002183406
59998,PUEBLO NUEVO MEAT CORP.,GENERAL TRADING COMPANY,NY,0,2,1,0,161.2537,2,80.62685,80.62685,1,0.5,0
16765010,ARLANS MARKET #24-010,GS ARLANS,TX,1,146,136,7,30492.93,699,44.38563319,208.8556849,4.787671233,0.931506849,0.047945205
