store_nbr,store_name,chain_name,store_state,target,total_orders,total_items,total_brands,total_sales,total_qty,avg_invoice_value,sales_per_order,qty_per_order,items_per_order,brands_per_order,adoption_probability,segment,potential_revenue,opportunity_tier,store_size
34308,PIGGLY WIGGLY 284,29,27,1,181,250,9,40708.6075,956,43.63194802,224.9094337,5.281767956,1.38121547,0.049723757,0.99597317,Hot Opportunity,40544.68085806077,Tier 1,Small Store
34314,PIGGLY WIGGLY 286,29,27,1,183,276,9,32566.3715,806,41.85908933,177.9583142,4.404371585,1.508196721,0.049180328,0.99503255,Hot Opportunity,32404.599677892325,Tier 1,Small Store
13738010,FOOD TOWN #15-010,18,28,1,158,195,9,99261.65,1449,76.9470155,628.2382911,9.170886076,1.234177215,0.056962025,0.99498487,Hot Opportunity,98763.8399212355,Tier 1,Medium Store
34217,FOGLE - PIGGLY WIGGLY 116,29,27,1,188,263,9,48637.9985,1179,41.42930026,258.712758,6.271276596,1.39893617,0.04787234,0.99481046,Hot Opportunity,48385.58966126431,Tier 1,Small Store
34309,PIGGLY WIGGLY 285,29,27,1,212,263,9,49615.9435,1185,42.01180652,234.0374693,5.589622642,1.240566038,0.04245283,0.9946273,Hot Opportunity,49349.37192035755,Tier 1,Small Store
34265,PIGGLY WIGGLY 185,29,27,1,215,267,8,46636.3126,1115,42.51259125,216.9130819,5.186046512,1.241860465,0.037209302,0.99449253,Hot Opportunity,46379.46450744488,Tier 1,Small Store
34264,PIGGLY WIGGLY 184,29,27,1,164,257,8,38520.1089,969,40.50484637,234.8787128,5.908536585,1.567073171,0.048780488,0.9943825,Hot Opportunity,38303.72218825425,Tier 1,Small Store
34228,PIGGLY WIGGLY 72,29,27,1,171,281,8,37508.578,951,39.77579852,219.3484094,5.561403509,1.643274854,0.046783626,0.9943825,Hot Opportunity,37297.873563085,Tier 1,Small Store
13731010,FOOD TOWN #7-010,18,28,1,132,187,9,96862.2,1293,82.36581633,733.8045455,9.795454545,1.416666667,0.068181818,0.9940653,Hot Opportunity,96287.35190166,Tier 1,Medium Store
13741010,FOOD TOWN #18-010,18,28,1,144,188,9,103323.01,1573,75.03486565,717.5209028,10.92361111,1.305555556,0.0625,0.99393153,Hot Opportunity,102695.99741350528,Tier 1,Large Store
34300,PIGGLY WIGGLY 283,29,27,1,120,246,8,22528.0093,518,46.258746,187.7334108,4.316666667,2.05,0.066666667,0.9938397,Hot Opportunity,22389.23000430921,Tier 1,Small Store
13736010,FOOD TOWN #12-010,18,28,1,161,188,9,83651.31,1140,80.43395192,519.573354,7.080745342,1.167701863,0.055900621,0.9937682,Hot Opportunity,83130.011766342,Tier 1,Medium Store
64273,#9723 RANDY'S BILO,2,24,1,89,176,9,26273.3665,617,43.93539548,295.2063652,6.93258427,1.97752809,0.101123596,0.9937133,Hot Opportunity,26108.19372682445,Tier 1,Small Store
34282,PIGGLY WIGGLY 160,29,27,1,140,219,7,18382.6884,431,42.85008951,131.3049171,3.078571429,1.564285714,0.05,0.99368733,Hot Opportunity,18266.64455441797,Tier 1,Small Store
34266,PIGGLY WIGGLY 186,29,27,1,225,271,7,50250.6051,1277,41.05441593,223.3360227,5.675555556,1.204444444,0.031111111,0.9934901,Hot Opportunity,49923.47868585951,Tier 1,Medium Store
34283,PIGGLY WIGGLY 161,29,27,1,231,273,9,50035.7757,1261,45.0367018,216.6050896,5.458874459,1.181818182,0.038961039,0.99332047,Hot Opportunity,49701.560235138575,Tier 1,Medium Store
34302,PIGGLY WIGGLY 297,29,27,1,240,285,8,53234.7904,1329,42.1828767,221.8116267,5.5375,1.1875,0.033333333,0.993082,Hot Opportunity,52866.5121200128,Tier 1,Medium Store
34227,MCLEOD - PIGGLY WIGGLY 91,29,27,1,206,257,7,48293.4009,1131,44.71611194,234.433985,5.490291262,1.247572816,0.033980583,0.9927114,Hot Opportunity,47941.40961820026,Tier 1,Small Store
31240,#513 BRIGIDO'S OF SLATERVILLE,6,26,1,154,175,10,45353.5421,1042,46.09099807,294.5035201,6.766233766,1.136363636,0.064935065,0.99234277,Hot Opportunity,45006.25959682562,Tier 1,Small Store
34279,PIGGLY WIGGLY 197,29,27,1,147,255,7,24377.6534,592,41.2481445,165.8343769,4.027210884,1.734693878,0.047619048,0.9922429,Hot Opportunity,24188.55350481086,Tier 1,Small Store
12880010,FOOD TOWN 216-010,18,28,1,119,174,8,93228.53,1419,73.93222046,783.4330252,11.92436975,1.462184874,0.067226891,0.99216896,Hot Opportunity,92498.4536524288,Tier 1,Medium Store
34204,MCLEOD - PIGGLY WIGGLY 68,29,27,1,110,219,7,26777.1761,637,42.57102719,243.4288736,5.790909091,1.990909091,0.063636364,0.99210125,Hot Opportunity,26565.66988028013,Tier 1,Small Store
34260,FOGLE - PIGGLY WIGGLY 180,29,27,1,158,268,7,37854.6718,967,41.41648993,239.5865304,6.120253165,1.696202532,0.044303797,0.9919863,Hot Opportunity,37551.31581659634,Tier 1,Small Store
12879010,FOOD TOWN #201-010,18,28,1,145,186,9,111043.9,1871,69.97095148,765.82,12.90344828,1.282758621,0.062068966,0.99197596,Hot Opportunity,110152.879304644,Tier 1,Large Store
12902010,FOOD TOWN #207-010,18,28,1,158,183,9,91400.33,1431,69.61182788,578.4831013,9.056962025,1.158227848,0.056962025,0.9918651,Hot Opportunity,90656.797455483,Tier 1,Medium Store
64245,"ELK COUNTY FOODS, JOHSONBURG",2,24,1,64,155,8,19448.6598,515,42.27969522,303.8853094,8.046875,2.421875,0.125,0.9918143,Hot Opportunity,19289.45890547514,Tier 1,Small Store
15250010,SAVERS COST PLUS #4-010,20,28,1,153,196,9,73022.31,1629,49.1401817,477.27,10.64705882,1.281045752,0.058823529,0.9914097,Hot Opportunity,72395.026450407,Tier 1,Medium Store
12900010,FOOD TOWN #203-010,18,28,1,157,196,8,98809.39,1620,65.09182477,629.359172,10.31847134,1.248407643,0.050955414,0.9913538,Hot Opportunity,97955.064252182,Tier 1,Medium Store
34214,MCLEOD - PIGGLY WIGGLY 32,29,27,1,223,275,7,42965.2108,956,45.36981077,192.6691067,4.286995516,1.233183857,0.031390135,0.9913231,Hot Opportunity,42592.40596240948,Tier 1,Small Store
34267,PIGGLY WIGGLY 187,29,27,1,114,214,7,21312.0417,528,40.44030683,186.9477342,4.631578947,1.877192982,0.061403509,0.99132204,Hot Opportunity,21127.09665460907,Tier 1,Small Store
34268,PIGGLY WIGGLY 188,29,27,1,140,256,7,25640.9771,651,39.50843929,183.1498364,4.65,1.828571429,0.05,0.9912862,Hot Opportunity,25417.54675374602,Tier 1,Small Store
34212,PIGGLY WIGGLY 101,29,27,1,196,217,7,50199.0021,1390,44.18926241,256.1173577,7.091836735,1.107142857,0.035714286,0.99122226,Hot Opportunity,49758.368311306745,Tier 1,Medium Store
34221,FOGLE - PIGGLY WIGGLY 117,29,27,1,207,272,7,59028.4055,1450,41.89382931,285.1613792,7.004830918,1.314009662,0.033816425,0.9912006,Hot Opportunity,58508.9909486433,Tier 1,Medium Store
19567,CLEMENTS MARKETPLACE,4,26,1,179,184,13,48501.57,1077,46.28012405,270.9584916,6.016759777,1.027932961,0.072625698,0.9911549,Hot Opportunity,48072.568763193,Tier 1,Small Store
34320,PIGGLY WIGGLY 317,29,27,1,147,215,7,24777.1606,642,38.5937081,168.5521129,4.367346939,1.462585034,0.047619048,0.9911368,Hot Opportunity,24557.55567017008,Tier 1,Small Store
