store_nbr,store_name,chain_name,store_state,target,total_orders,total_items,total_brands,total_sales,total_qty,avg_invoice_value,sales_per_order,qty_per_order,items_per_order,brands_per_order,adoption_probability,segment,potential_revenue
31087,GRISTEDE'S #155,6,20,0,99,102,9,15474.7316,356,43.46834719,156.3104202,3.595959596,1.03030303,0.090909091,0.9684548,Hot Opportunity,14986.577759296297
19128,SEABRA FOODS-HARRISON,4,18,0,118,91,9,19404.69,447,43.60604494,164.4465254,3.788135593,0.771186441,0.076271186,0.9499026,Hot Opportunity,18432.565368502736
50080,HARVEST MARKET - ESTACADA,30,23,0,16,35,7,1942.15,45,43.15888889,121.384375,2.8125,2.1875,0.4375,0.936324,Hot Opportunity,1818.4816572964191
31150,#544 FOODTOWN OF WASHINGTON HEIGHTS,6,20,0,240,192,12,94348.562,2166,45.16446242,393.1190083,9.025,0.8,0.05,0.932066,Hot Opportunity,87939.08899210847
64250,MCLANAHAN'S STUDENT STORE,2,24,0,43,56,8,7037.9442,196,38.04294162,163.6731209,4.558139535,1.302325581,0.186046512,0.9069845,Hot Opportunity,6383.306357832849
45210,828 IRVING MARKET,37,2,0,33,48,9,5445.71,110,49.9606422,165.0215152,3.333333333,1.454545455,0.272727273,0.86046535,High Potential,4685.844748987555
64249,MCLANAHAN'S DOWNTOWN MKT,2,24,0,15,31,7,1439.1847,46,31.28662391,95.94564667,3.066666667,2.066666667,0.466666667,0.85859275,High Potential,1235.6735473764659
45097,INTERNATIONAL PRODUCE MARKET,37,2,0,76,88,14,25415.72,450,88.86615385,334.4173684,5.921052632,1.157894737,0.184210526,0.85747004,High Potential,21793.218332004548
16728010,POCO LOCO #15-010,20,28,0,66,113,7,13382.43,293,46.14631034,202.7640909,4.439393939,1.712121212,0.106060606,0.8526781,High Potential,11410.905255255104
11096010,BORDER TOWN FOODS #15-010,20,28,0,30,57,6,5685.57,131,43.40129771,189.519,4.366666667,1.9,0.2,0.85130996,High Potential,4840.1823415321105
47889,UNITED MARKET REEDLEY,37,2,0,49,89,6,41817.76,768,66.48292528,853.4236735,15.67346939,1.816326531,0.12244898,0.8484658,High Potential,35480.93920454026
45994,MT. SHASTA SUPER MARKET*C,37,2,0,63,44,8,7080.8,164,43.17560976,112.3936508,2.603174603,0.698412698,0.126984127,0.8358848,High Potential,5918.733159065247
31254,#599 FOODTOWN OF NEWBURGH,6,20,0,47,136,8,12196.1461,266,47.27188411,259.4924702,5.659574468,2.893617021,0.170212766,0.82860655,High Potential,10105.806493519372
11176010,ARLANS MKT#5-010,10,28,0,157,112,7,54482.68,1229,47.62472028,347.0234395,7.828025478,0.713375796,0.044585987,0.8224665,High Potential,44810.178729929925
31210,#519 FOODTOWN OF GREEN WAY MARKET OF CROSS RIVER,6,20,0,125,134,11,29801.2764,618,48.93477241,238.4102112,4.944,1.072,0.088,0.8156712,High Potential,24308.043047241496
46069,WINDMILL MARKET,37,2,0,77,61,8,6913.78,162,42.67765432,89.78935065,2.103896104,0.792207792,0.103896104,0.8091526,High Potential,5594.303084602356
15313010,SELLERS BROS. #14-010,19,28,0,154,107,6,70555.06,1416,60.56228326,458.1497403,9.194805195,0.694805195,0.038961039,0.7850097,High Potential,55386.40522668481
45243,EL CHAVO SUPERMERCADO 1,37,2,0,24,25,6,4232.83,94,76.96054545,176.3679167,3.916666667,1.041666667,0.25,0.7825718,High Potential,3312.4933608818055
48163,BROADWAY MARKET,37,2,0,21,23,7,1523.45,35,43.52714286,72.5452381,1.666666667,1.095238095,0.333333333,0.7601998,High Potential,1158.1263628125191
47174,ROYAL FOOD,37,2,0,21,52,6,7003.65,123,61.43552632,333.5071429,5.857142857,2.476190476,0.285714286,0.7409724,High Potential,5189.511347240209
30164,GREEN STAR FOODS,24,20,0,3,6,6,230.845,6,38.47416667,76.94833333,2.0,2.0,2.0,0.7284933,High Potential,168.1690296652913
15658010,SUPER MARKET EL GALLO MAS GALLO-010,20,22,0,5,4,3,239.05,6,39.84166667,47.81,1.2,0.8,0.6,0.7282545,High Potential,174.0892375200987
15350010,SEVEN SEAS-010,20,28,0,76,47,6,16774.14,326,51.61273846,220.7123684,4.289473684,0.618421053,0.078947368,0.72615045,High Potential,12180.549361206293
64558,GIANT FOOD MART-CUBA,2,20,0,57,79,6,9324.4164,228,49.07587579,163.5862526,4.0,1.385964912,0.105263158,0.71546537,High Potential,6671.297000198293
14173010,MEXICO LINDO-010,20,28,0,63,40,6,7157.69,150,49.02527397,113.614127,2.380952381,0.634920635,0.095238095,0.71252036,High Potential,5099.999862344264
30160,R&M VARIETY SHOP,24,24,0,3,7,4,284.9933,7,40.71332857,94.99776667,2.333333333,2.333333333,1.333333333,0.7066608,High Potential,201.39359540541767
45710,PIAZZA'S FINE FOODS-PALO,37,2,0,171,68,11,44914.93,983,46.64063344,262.6604094,5.748538012,0.397660819,0.064327485,0.7059954,High Potential,31709.73311247885
25569,RIVINGTON'S ORCHARD LL,24,20,0,4,5,4,186.4146,5,37.28292,46.60365,1.25,1.25,1.0,0.7032637,High Potential,131.09862133158447
45203,RAZCO FOODS SUPERMARKET #2,37,2,0,49,84,7,12641.73,299,46.47694853,257.9944898,6.102040816,1.714285714,0.142857143,0.6970836,Medium Potential,8812.342562738657
45711,PIAZZA'S FINE FOODS-SAN M,37,2,0,148,74,9,39269.97,820,48.00729829,265.3376351,5.540540541,0.5,0.060810811,0.6952163,Medium Potential,27301.123170028925
19547,FOOD DEPOT SUPERMARKET,4,18,0,19,59,6,5157.07,120,48.19691589,271.4247368,6.315789474,3.105263158,0.315789474,0.68399054,Medium Potential,3527.3870844238995
50015,MCKAY'S MARKET #1,30,23,0,78,79,7,12973.16,278,47.0042029,166.3225641,3.564102564,1.012820513,0.08974359,0.6820871,Medium Potential,8848.825385730266
